UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"5";"0";8.33089158600;52.04008580100;"0";Gütersloh
"3";"5";"1";7.35499353100;51.65560778200;"1";Recklinghausen
"3";"5";"1";6.53366555200;51.33922973800;"1";Krefeld
"3";"4";"1";8.24244997200;51.88088856500;"1";Gütersloh
"3";"4";"0";6.61088514900;51.22631676600;"1";Rhein-Kreis Neuss
"3";"5";"1";6.92835046000;51.11920357800;"2";Mettmann
"3";"5";"2";9.03911007700;51.92125567600;"1";Lippe
"3";"5";"2";7.06946135200;50.74047876200;"0";Bonn
"3";"5";"2";7.20698593400;50.79233742100;"0";Rhein-Sieg-Kreis
"3";"5";"0";7.13951003900;51.21045678100;"0";Wuppertal
"3";"1";"2";8.54330961500;52.03522737500;"0";Bielefeld
"3";"3";"0";7.00426918600;51.48241070100;"0";Essen
"2";"0";"0";7.71860839000;52.27481216000;"0";Steinfurt
"3";"6";"0";7.15307092300;50.68664539000;"0";Bonn
"3";"5";"0";6.88925218400;50.87907568500;"0";Rhein-Erft-Kreis
"3";"5";"0";8.50059772300;51.88035957800;"0";Gütersloh
"3";"5";"2";8.23489272800;51.88223204400;"0";Gütersloh
"3";"3";"0";7.01277009300;50.97397418300;"1";Köln
"2";"0";"0";8.49801743400;51.78828146300;"2";Paderborn
"3";"0";"2";8.73623996000;51.69613060300;"0";Paderborn
"3";"3";"0";6.63740372500;51.67096292300;"0";Wesel
"3";"5";"2";6.90450695400;50.93700001500;"0";Köln
"3";"0";"0";6.81276677200;51.02358977000;"2";Rhein-Erft-Kreis
"2";"3";"2";6.93241461600;50.92059832700;"1";Köln
"3";"4";"0";6.97314442900;51.56940055000;"0";Recklinghausen
"2";"5";"2";6.49504052000;51.85675366100;"0";Borken
"3";"0";"2";8.40738819000;51.91897692100;"2";Gütersloh
"3";"5";"0";7.23195742000;52.09005698200;"1";Borken
"3";"0";"2";6.81613338500;51.06083814400;"0";Rhein-Kreis Neuss
"3";"5";"2";6.53242092600;51.24262946100;"0";Viersen
"3";"8";"2";8.55555038100;51.99679429700;"0";Bielefeld
"2";"0";"2";7.62693148500;51.50356453900;"0";Unna
"3";"0";"0";7.22706345100;51.46870072200;"1";Bochum
"2";"5";"0";8.03432597100;50.89621323600;"1";Siegen-Wittgenstein
"3";"5";"1";6.83570445000;50.89042749900;"1";Rhein-Erft-Kreis
"2";"0";"1";6.36131806600;50.92107500700;"1";Düren
"2";"8";"2";7.01202006500;51.95221501300;"0";Borken
"3";"3";"0";7.71021190500;52.27331111500;"0";Steinfurt
"3";"5";"1";7.30620003700;51.57086697600;"1";Recklinghausen
"3";"5";"0";7.66776257900;51.92837575600;"1";Münster
"2";"2";"0";7.54649311000;52.13281038600;"0";Steinfurt
"3";"5";"2";6.78932879700;51.21338689300;"0";Düsseldorf
"3";"5";"2";6.68197918000;51.20411451800;"0";Rhein-Kreis Neuss
"3";"5";"0";7.32539552100;51.65043338200;"1";Recklinghausen
